trialIter,trialID,valid_cue,target_id,soa,cue_type,side,pic_version,pic_category,pic_type,pic_id,cue_category,block,cue_version,pic_file,cue_file
1,23,1,23,.8,label,right,A,motor,dirt,2,motor,1,A,motor_dirt_2,motor_label_A
1,39,1,39,1.0,label,right,A,dog,rott,2,dog,1,A,dog_rott_2,dog_label_A
1,129,1,129,1.2,label,left,B,phone,rotary,2,phone,1,B,phone_rotary_2,phone_label_B
1,48,1,48,1.2,label,left,A,bird,hawk,1,bird,1,A,bird_hawk_1,bird_label_A
1,118,1,118,1.0,label,right,B,motor,harley,1,motor,1,B,motor_harley_1,motor_label_B
1,266,0,122,1.2,label,left,B,dog,york,1,phone,1,B,dog_york_1,phone_label_B
1,41,1,41,1.0,label,right,A,drum,kit,2,drum,1,A,drum_kit_2,drum_label_A
1,238,0,94,.8,label,right,B,motor,harley,1,guitar,1,B,motor_harley_1,guitar_label_B
1,151,0,7,.8,label,left,A,guitar,electric,2,motor,1,A,guitar_electric_2,motor_label_A
1,205,0,61,1.2,label,right,A,bird,hawk,2,phone,1,A,bird_hawk_2,phone_label_A
1,63,1,63,1.2,label,right,A,dog,rott,2,dog,1,A,dog_rott_2,dog_label_A
1,14,1,14,.8,label,right,A,dog,rott,1,dog,1,A,dog_rott_1,dog_label_A
1,34,1,34,1.0,label,left,A,motor,dirt,1,motor,1,A,motor_dirt_1,motor_label_A
1,61,1,61,1.2,label,right,A,bird,hawk,2,bird,1,A,bird_hawk_2,bird_label_A
1,218,0,74,.8,label,left,B,dog,york,1,bird,1,B,dog_york_1,bird_label_B
1,229,0,85,.8,label,right,B,bird,song,2,guitar,1,B,bird_song_2,guitar_label_B
1,162,0,18,.8,label,right,A,guitar,electric,1,motor,1,A,guitar_electric_1,motor_label_A
1,262,0,118,1.0,label,right,B,motor,harley,1,dog,1,B,motor_harley_1,dog_label_B
1,246,0,102,1.0,label,left,B,guitar,acoustic,1,drum,1,B,guitar_acoustic_1,drum_label_B
1,0,1,0,.8,label,left,A,bird,hawk,1,bird,1,A,bird_hawk_1,bird_label_A
1,180,0,36,1.0,label,right,A,bird,hawk,1,guitar,1,A,bird_hawk_1,guitar_label_A
1,132,1,132,1.2,label,right,B,bird,song,1,bird,1,B,bird_song_1,bird_label_B
1,250,0,106,1.0,label,left,B,motor,harley,1,dog,1,B,motor_harley_1,dog_label_B
1,6,1,6,.8,label,left,A,guitar,electric,1,guitar,1,A,guitar_electric_1,guitar_label_A
1,192,0,48,1.2,label,left,A,bird,hawk,1,drum,1,A,bird_hawk_1,drum_label_A
1,109,1,109,1.0,label,right,B,bird,song,2,bird,1,B,bird_song_2,bird_label_B
1,280,0,136,1.2,label,right,B,drum,bongo,1,phone,1,B,drum_bongo_1,phone_label_B
1,36,1,36,1.0,label,right,A,bird,hawk,1,bird,1,A,bird_hawk_1,bird_label_A
1,76,1,76,.8,label,left,B,drum,bongo,1,drum,1,B,drum_bongo_1,drum_label_B
1,79,1,79,.8,label,left,B,guitar,acoustic,2,guitar,1,B,guitar_acoustic_2,guitar_label_B
1,155,0,11,.8,label,left,A,motor,dirt,2,phone,1,A,motor_dirt_2,phone_label_A
1,231,0,87,.8,label,right,B,dog,york,2,motor,1,B,dog_york_2,motor_label_B
1,287,0,143,1.2,label,right,B,motor,harley,2,guitar,1,B,motor_harley_2,guitar_label_B
1,20,1,20,.8,label,right,A,phone,cell,1,phone,1,A,phone_cell_1,phone_label_A
1,179,0,35,1.0,label,left,A,motor,dirt,2,dog,1,A,motor_dirt_2,dog_label_A
1,167,0,23,.8,label,right,A,motor,dirt,2,phone,1,A,motor_dirt_2,phone_label_A
1,146,0,2,.8,label,left,A,dog,rott,1,drum,1,A,dog_rott_1,drum_label_A
1,141,1,141,1.2,label,right,B,phone,rotary,2,phone,1,B,phone_rotary_2,phone_label_B
1,224,0,80,.8,label,left,B,phone,rotary,1,dog,1,B,phone_rotary_1,dog_label_B
1,138,1,138,1.2,label,right,B,guitar,acoustic,1,guitar,1,B,guitar_acoustic_1,guitar_label_B
1,168,0,24,1.0,label,left,A,bird,hawk,1,phone,1,A,bird_hawk_1,phone_label_A
1,214,0,70,1.2,label,right,A,motor,dirt,1,guitar,1,A,motor_dirt_1,guitar_label_A
1,183,0,39,1.0,label,right,A,dog,rott,2,phone,1,A,dog_rott_2,phone_label_A
1,97,1,97,1.0,label,left,B,bird,song,2,bird,1,B,bird_song_2,bird_label_B
1,68,1,68,1.2,label,right,A,phone,cell,1,phone,1,A,phone_cell_1,phone_label_A
1,88,1,88,.8,label,right,B,drum,bongo,1,drum,1,B,drum_bongo_1,drum_label_B
1,169,0,25,1.0,label,left,A,bird,hawk,2,guitar,1,A,bird_hawk_2,guitar_label_A
1,78,1,78,.8,label,left,B,guitar,acoustic,1,guitar,1,B,guitar_acoustic_1,guitar_label_B
1,216,0,72,.8,label,left,B,bird,song,1,drum,1,B,bird_song_1,drum_label_B
1,248,0,104,1.0,label,left,B,phone,rotary,1,motor,1,B,phone_rotary_1,motor_label_B
